stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,tier,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
313,3317,32,1917,87,0.962043228993992,12862,0.38514866264152237,high,0.20306184935701163,0.1183206106870229,0.1949359365466748,0.07385398981324279,0.9601089938151313,0.7606105956300508
297,2804,23,1111,330,0.9884601510422285,11871,0.3896478480681987,high,0.17164727495407225,0.08396946564885496,0.11297539149888143,0.2801358234295416,0.9878720930694013,0.7012870398084405
338,2356,31,1145,100,0.9424253633575315,16297,0.39429473766248657,high,0.144213104715248,0.11450381679389313,0.11643278421801911,0.08488964346349745,0.939491423387075,0.9662376533971865
294,3969,27,2000,371,0.9598344998095096,9303,0.39431499109486384,high,0.24298836497244336,0.09923664122137404,0.2033760423022168,0.3149405772495755,0.9577877102279436,0.5475606105956301
260,5571,29,1597,54,0.9892710790163396,13065,0.40294723593004034,high,0.34109001837109615,0.10687022900763359,0.16239576977832013,0.04584040747028863,0.9887243450385066,0.7727626459143969
320,1350,263,533,122,0.9104691339775688,6578,0.4217860522377721,high,0.08260869565217391,1.0,0.054199715273540776,0.1035653650254669,0.9059067398100817,0.38443579766536967
274,6768,18,2671,309,0.9809066365656965,14265,0.4729541627843476,high,0.4143906919779547,0.0648854961832061,0.27160870449461055,0.2623089983022071,0.9799336598277238,0.8445974259203831
323,2948,73,770,608,0.9900160170848905,13966,0.47765153458614096,high,0.18046540110226578,0.2748091603053435,0.07829977628635347,0.5161290322580645,0.9895072443292604,0.8266985932355582
311,10747,39,676,32,0.9969649187001851,16850,0.48252473146270275,high,0.6580526638089406,0.1450381679389313,0.06874110229814928,0.027164685908319185,0.9968102543052639,0.9993415145166118
266,16331,25,9834,1178,0.9691504501043551,13450,0.8091651803901869,high,1.0,0.0916030534351145,1.0,1.0,0.9675783910730236,0.7958096378329841
