stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
174,833,29,304,22,0.9641889858561541,6116,0.2544252976238665,0.050949173300673604,0.10687022900763359,0.030913158429936954,0.01867572156196944,0.9623640960799205,0.35677940736306496
175,563,53,235,18,0.9667502819912793,1250,0.2171017629148191,0.03441518677281078,0.1984732824427481,0.023896684970510475,0.015280135823429542,0.9650559130406252,0.06548937443879078
176,634,25,374,23,0.9421795780406694,5805,0.24421955736696366,0.0387630128597673,0.0916030534351145,0.03803131991051454,0.019524617996604415,0.9392331131216012,0.3381622268781802
178,738,74,235,20,0.9818043036582217,5806,0.2806218979373198,0.0451316595223515,0.2786259541984733,0.023896684970510475,0.01697792869269949,0.9808770710450322,0.33822208919485186
179,836,26,274,7,0.9595786609111809,3844,0.22644143039580555,0.05113288426209431,0.09541984732824428,0.0278625177954037,0.005942275042444821,0.957518834061582,0.22077222388506434
180,776,21,434,153,0.9575050174289638,7521,0.28233896347612947,0.04745866503368034,0.07633587786259542,0.044132601179581045,0.1298811544991511,0.9553395199950286,0.4408859622867405
181,489,18,186,15,0.9047689992699751,8798,0.2572771395939244,0.029883649724433557,0.0648854961832061,0.018913971934106162,0.012733446519524618,0.8999161325258316,0.5173301406764442
182,456,56,166,2,0.9661716318363717,995,0.2118394594751619,0.02786282914880588,0.2099236641221374,0.016880211511083994,0.001697792869269949,0.9644477755121552,0.05022448368751871
183,506,11,221,25,0.8192624418188328,4714,0.19928212926656852,0.030924678505817513,0.03816793893129771,0.022473052674394957,0.021222410865874362,0.8100522552326221,0.27285243938940434
184,508,11,246,9,0.981736487909575,3970,0.21849851463210346,0.03104715248009798,0.03816793893129771,0.025015253203172667,0.007640067911714771,0.9808057994806447,0.2283148757856929
185,785,17,287,46,0.9777242624924745,12011,0.31059484631606676,0.04800979791794244,0.061068702290076333,0.029184462070368112,0.03904923599320883,0.9765891154823322,0.7096677641424723
190,755,25,227,38,0.9665916050088763,6673,0.2580214758099499,0.04617268830373546,0.0916030534351145,0.023083180801301607,0.03225806451612903,0.9648891500542418,0.3901227177491769
192,905,14,463,14,0.8936178283546705,6098,0.23464020946137723,0.05535823637477036,0.04961832061068702,0.047081553792963186,0.011884550084889643,0.8881967102419779,0.35570188566297517
193,425,18,257,21,0.8203202695297437,3713,0.19315081239527687,0.025964482547458666,0.0648854961832061,0.02613382143583486,0.017826825127334467,0.8111639886767498,0.21293026040107751
194,711,11,319,41,0.8856389933817465,5384,0.22361015109468563,0.043478260869565216,0.03816793893129771,0.03243847874720358,0.03480475382003396,0.8798112826405999,0.31296019155941335
196,572,38,255,21,0.956252617861963,8533,0.27923914841831027,0.03496631965707287,0.14122137404580154,0.02593044539353264,0.017826825127334467,0.9540232995276647,0.5014666267584555
197,802,13,305,65,0.9555440194435924,4340,0.23079799879817117,0.049050826699326394,0.04580152671755725,0.03101484645108806,0.055178268251273345,0.9532785917155766,0.2504639329542053
198,459,16,258,26,0.8851690014137,4230,0.20946694729755336,0.028046540110226576,0.05725190839694656,0.026235509456985967,0.022071307300509338,0.8793173404003285,0.24387907812032325
200,686,13,205,26,0.9713590162399476,4434,0.22610945142816233,0.0419473361910594,0.04580152671755725,0.020846044335977223,0.022071307300509338,0.9698995033025298,0.2560909907213409
201,949,22,518,28,0.9806045256106909,995,0.20741491133499323,0.0580526638089406,0.08015267175572519,0.05267439495627415,0.023769100169779286,0.9796161536317215,0.05022448368751871
202,965,29,370,38,0.7707942174436521,6563,0.22973955391310616,0.059032455603184326,0.10687022900763359,0.03762456782591011,0.03225806451612903,0.7591141436104849,0.38353786291529485
203,434,12,77,2,0.8567866408079994,1806,0.17104826454502386,0.02651561543172076,0.04198473282442748,0.007829977628635347,0.001697792869269949,0.8494886460078585,0.09877282250823106
204,435,17,217,8,0.9828785086952428,4871,0.23012664437806732,0.026576852418860993,0.061068702290076333,0.022066300589790522,0.006791171477079796,0.9820060163857421,0.28225082310685423
206,780,13,318,34,0.942572523780228,7969,0.26034246205027595,0.047703612982241274,0.04580152671755725,0.03233679072605247,0.028862478777589132,0.9396460829425738,0.467704280155642
207,540,16,198,10,0.957953461058504,6345,0.24086342178298495,0.033006736068585424,0.05725190839694656,0.020134228187919462,0.008488964346349746,0.9558108158172345,0.370487877880874
208,455,17,160,41,0.9748692240627724,4293,0.2268640205283914,0.027801592161665646,0.061068702290076333,0.016270083384177344,0.03480475382003396,0.9735885874437576,0.24765040407063754
209,560,13,197,13,0.9508048143851509,4125,0.21616543553518833,0.03423147581139008,0.04580152671755725,0.020032540166768354,0.011035653650254669,0.9482978819953602,0.23759353486979945
